ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
1338,100,ขาแหย่ง - ป่าเมี่ยง,1+000,133,58,10,0,0,228,15,0,0,0,444,3.38,0,330,เชียงรายที่ 1,เชียงราย
4347,100,ตลาดฉุ้น - บ้านซา,0+400,133,40,1,0,0,320,13,3,1,1,512,3.52,2,972,ตรัง,ตรัง
4,903,คลองบางดินสอ - นาเหนือ,900+727,138,34,1,0,1,574,36,28,16,45,873,14.43,11,346,พังงา,พังงา
1130,100,ป่าซาง - กิ่วสะไต,19+553,143,51,68,26,0,559,20,0,0,0,867,5.31,4,503,เชียงรายที่ 1,เชียงราย
1290,101,แม่สาย - กิ่วกาญน์,64+704,143,189,128,9,9,1477,144,202,120,137,2558,24.28,46,486,เชียงรายที่ 2,เชียงราย
1333,100,แม่สะนาน - ผักเฮือก,42+715,148,117,41,32,42,33,37,35,1,0,486,30.25,2,194,น่านที่ 2,น่าน
105,103,แม่สลิดหลวง - แม่เงา,137+800,154,90,84,15,0,534,44,15,0,0,936,7.91,40,508,ตากที่ 2 (แม่สอด),ตาก
1143,200,ปางหมิ่น - บ้านแพะ,77+000,156,200,1,0,4,520,57,48,82,73,1141,23.14,13,95,อุตรดิตถ์ที่ 1,อุตรดิตถ์
1130,100,ป่าซาง - กิ่วสะไต,37+053,157,186,66,11,0,331,32,4,0,0,787,5.97,2,764,เชียงรายที่ 1,เชียงราย
4235,100,บ้านนา - ปากปรน - บกหัก,30+288,157,26,8,2,0,437,17,7,0,0,654,3.98,2,781,ตรัง,ตรัง
1174,101,ป่ามื่น - แม่ต๋ำน้อย,1+000,158,87,45,28,26,1764,83,39,30,27,2287,10.19,43,587,เชียงรายที่ 2,เชียงราย
1324,200,ทุ่งป่ากระถิน - พญาแมน,6+000,158,71,8,0,0,562,46,27,37,19,928,13.9,19,399,อุตรดิตถ์ที่ 1,อุตรดิตถ์
2216,201,ห้วยสนามทราย - โคกมน,1+000,159,138,10,53,0,1109,102,85,65,97,1818,22.11,83,354,เพชรบูรณ์ที่ 1,เพชรบูรณ์
1254,100,ทางเข้าดารา,0+500,161,103,3,0,1,578,76,34,6,4,966,12.53,50,505,อุตรดิตถ์ที่ 1,อุตรดิตถ์
4350,100,แหลมยาง - หาดผก,0+100,161,21,0,0,0,279,15,7,0,0,483,4.56,0,232,สุราษฎร์ธานีที่ 2 (กาญจนดิษฐ์),สุราษฎร์ธานี
1120,200,แม่เต้น - เชียงม่วน,44+000,163,50,7,0,2,670,71,53,72,2,1090,18.35,0,496,พะเยา,พะเยา
1252,100,ปางแฟน - แม่ตอนหลวง,19+300,168,206,0,0,0,441,20,0,0,0,835,2.4,0,357,เชียงใหม่ที่ 2,เชียงใหม่
1081,103,บ่อเกลือ - เฉลิมพระเกียรติ,101+392,170,113,16,0,0,0,44,0,0,0,343,12.83,0,315,น่านที่ 2,น่าน
1178,102,นาหวาย - สินไชย,33+250,171,69,26,0,0,637,56,19,9,3,990,8.79,4,546,เชียงใหม่ที่ 3,เชียงใหม่
1255,100,ฟ้าเรือง - คลองกล้วย,0+500,172,62,0,1,0,648,39,33,27,4,986,10.55,14,358,อุตรดิตถ์ที่ 1,อุตรดิตถ์
1111,100,ลานมะคร้อ - โป่งแดง,1+000,173,40,4,2,0,614,33,9,14,4,893,6.94,3,283,ตากที่ 1,ตาก
2341,100,ไพรพัฒนา - หนองบัวเรณ,18+000,174,645,38,5,1,236,41,11,3,2,1156,5.45,7,597,ศรีสะเกษที่ 1,ศรีสะเกษ
3039,100,สะเดาดู่ - แยกปากน้ำ,1+100,175,121,0,0,2,740,111,63,37,6,1255,17.45,13,503,ชัยนาท,สุพรรณบุรี
4198,100,เขาสวนทุเรียน - อ่าวมะม่วง,0+500,176,122,0,0,0,1767,22,1,0,0,2088,1.1,37,1292,ชุมพร,ชุมพร
4270,102,ท่างิ้ว - ทุ่งชุมพล,30+900,177,92,0,0,0,258,36,1,0,0,564,6.56,4,325,ตรัง,นครศรีธรรมราช
1219,100,แม่เทย - ทุ่งหัวช้าง,0+500,181,98,2,1,0,1172,91,24,0,2,1571,7.51,37,1012,ลำพูน,ลำพูน
2016,100,วังสะพุง - ตาวตาด,35+000,182,30,10,1,0,932,54,6,1,0,1216,5.1,5,432,เลยที่ 1,เลย
